TestId,Protocol,TestDate,Location,DeviceOperator,KitOperator,DeviceId,KitId,KitLot,Usage,Input,InputGroup,InputC,Result,AsExpected,Well1,Well2,Well3,Well4,Well5,ResultComment
2021-04-23_NABITA001.9_2,WI-7 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.9,NBSC20151,51921001,Kit release,Negative,Negative,0,Negative,Yes,77.2,8.6,8.5,9.4,6.1,
2021-04-23_NABITA003.7_2,WI-7 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20136,51921001,Kit release,Negative,Negative,0,Invalid,Invalid,5.5,2.5,4.6,7.3,9,Door opened during test
2021-04-23_NABITA003.7_3,WI-7 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20129,51921001,Kit release,Positive - GI24K,Positive,"24,000",Positive,Yes,49.9,32.5,80.9,88.4,90.7,
2021-04-23_NABITA001.9_3,WI-7 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.9,NBSC20143,51921001,Kit release,Positive - GI24K,Positive,"24,000",Positive,Yes,51.1,54,52.7,82.2,53.9,
2021-04-23_NABITA003.7_4,WI-7 (v1),4/23/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20133,51921001,Kit release,Negative,Negative,0,Negative,Yes,40.1,8.1,22.5,26.8,15.1,
2021-04-24_NABITA002.15_1,WI-6 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.15,NBSC20034,51921001,Device release,Negative,Negative,0,Positive,No,66,16.4,30,1,68.1,"False positive in PD5, but PD4 has no signal"
2021-04-24_NABITA002.15_2,WI-6 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.15,NBSC20073,51921001,Device release,Positive - GI24K,Positive,"24,000",Positive,Yes,120.8,88,127.7,90.7,141.9,Positive result but PD4 has no signal until amplification
2021-04-24_NABITA001.10_1,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.10,NBSC20026,51921001,Kit release,Negative,Negative,0,Negative,Yes,111.4,20.6,8.5,10.4,9.5,
2021-04-24_NABITA003.7_1,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20048,51921001,Kit release,Negative,Negative,0,Negative,Yes,56.2,4.9,2.8,8,2.5,
2021-04-24_NABITA001.10_2,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.10,NBSC20002,51921001,Kit release,Positive - GI24K,Positive,"24,000",Positive,Yes,43.2,89.2,65.2,106.5,63.5,
2021-04-24_NABITA003.7_2,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20014,51921001,Kit release,Positive - GI24K,Positive,"24,000",Positive,Yes,46.3,50.1,74.4,108.7,142.7,
2021-04-24_NABITA001.10_3,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.10,NBSC20054,51921001,Kit release,Negative,Negative,0,Negative,Yes,63.5,10.6,12.3,14.6,13.8,
2021-04-24_NABITA003.7_3,WI-7 (v1),4/24/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.7,NBSC20132,51921001,Kit release,Positive - HE0063S,Positive,"100,000",Positive,Yes,117.1,60.7,90.6,99.4,116.1,
2021-04-27_NABITA002.18_1,WI-6 (v1),4/27/2021,CXL,Misa Winters,Misa Winters,NABITA002.18,COVID-19 v.1,CEACA_20210427,Device release,Positive - GI24K,Positive,"24,000",Positive,Yes,79.7,104.7,140.7,243.2,122.5,PD5 optical signal has noise peaks though and could affect mvs threshold
2021-04-27_NABITA002.18_2,WI-6 (v1),4/27/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.18,COVID-19 v.1,CEACB_20210427,Device release,Positive - GI24K,Positive,"24,000",Positive,Yes,122.1,71.6,153.5,249.9,212.6,
2021-04-28_NABITA002.19_1,WI-6 (v1),4/28/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.19,COVID-19 v.1,CEACB_20210427,Device release,Negative,Negative,0,Positive,Yes,115.5,18.1,28.7,43.2,22.8,False positive in PD4; noted mvs threshold was not updated
2021-04-28_NABITA002.19_2,WI-6 (v1),4/28/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.19,COVID-19 v.1,CEACB_20210427,Device release,Negative,Negative,0,Positive,No,120.6,14.7,8.8,172.5,12.6,False positive in PD4 - but could be real LAMP amp?
2021-04-28_NABITA001.13_1,WI-6 (v1),4/28/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.13,COVID-19 v.1,CEACB_20210427,Device release,Negative,Negative,0,Negative,Yes,76.7,14.9,7.4,10.2,14,Same lysate as both tests above; exchange PD board with NABITA002
2021-04-28_NABITA002.20_3,WI-6 (v1),4/28/2021,CXL,Misa Winters,Misa Winters,NABITA002.20,COVID-19 v.1,CEACC_20210428,Device release,Negative,Negative,0,Negative,Yes,74.7,8.8,15.5,20.5,30,Signal has some noise but is acceptable(?)
2021-04-28_NABITA001.13_2,WI-6 (v1),4/28/2021,CXL,Misa Winters,Misa Winters,NABITA001.13,COVID-19 v.1,CEACC_20210428,Device release,Negative,Negative,0,Negative,Yes,84.2,16.4,18.5,18.5,15.6,Same lysate as test above
2021-04-28_NABITA002.20_4,WI-6 (v1),4/28/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA002.20,COVID-19 v.1,CEACC_20210428,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,94.8,13.9,160.6,29.2,23.3,1/2 replicates of Assay 1 amplified
2021-04-28_NABITA001.13_3,WI-6 (v1),4/28/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.13,COVID-19 v.1,CEACC_20210428,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,84.2,73.1,64.1,15.9,19.7,
2021-05-05_NABITA001.16_1,WI-6 (v1),5/5/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,COVID-19 v.1,CEACA_20210505,Device release,Negative,Negative,0,Negative,Yes,N/A,N/A,N/A,N/A,N/A,Raw data lost
2021-05-05_NABITA001.16_2,WI-6 (v1),5/5/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,COVID-19 v.1,CEACA_20210505,Device release,Positive - GI26K,Positive,"26,000",Device Fail,Fail,N/A,N/A,N/A,N/A,N/A,Battery died during test
2021-05-05_NABITA001.16_3,WI-6 (v1),5/5/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,COVID-19 v.1,CEACA_20210505,Device release,Positive - GI26K,Positive,"26,000",Positive,Yes,85,80.4,45.6,71.4,121.6,
2021-05-05_NABITA001.16_4,WI-6 (v1),5/5/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,COVID-19 v.1,CEACD_20210428,Device release,Positive - aRNA24K,Gene N,"24,000",Positive,Yes,95.3,69,47.3,6.5,13,
2021-05-06_NABITA001.16_1,WI-7 (v1),5/6/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,NBSC20076,51921001,Kit release,Negative,Negative,0,Negative,Yes,207.8,10.8,12.6,20.7,16.5,
2021-05-06_NABITA001.16_2,WI-7 (v1),5/6/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,NBSC20121,51921001,Kit release,Positive - GI20K,Positive,"20,000",Positive,Yes,105.9,70.8,68.7,66.7,131.7,
2021-05-06_NABITA001.16_3,WI-7 (v1),5/6/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,NBSC20061,51921001,Kit release,Negative,Negative,0,Negative,Yes,76.2,14.8,8.4,1.7,17.9,
2021-05-06_NABITA001.16_4,WI-7 (v1),5/6/2021,CXL,Cifeng Fang,Jackie Mercader,NABITA001.16,NBSC20110,51921001,Kit release,Positive - GI20K,Positive,"20,000",Positive,Yes,94.7,45.8,52.3,50.8,134.9,
2021-05-12_NABITA001.16_1,WI-7 (v1),5/12/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20065,51921001,Kit release,Negative,Negative,0,Negative,Yes,85.4,8.9,6.3,15.1,12.4,
2021-05-12_NABITA001.16_2,WI-7 (v1),5/12/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20053,51921001,Kit release,Negative,Negative,0,Negative,Yes,169.5,18.8,7.6,8.3,14.4,
2021-05-12_NABITA001.16_3,WI-7 (v1),5/12/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20039,51921001,Kit release,Negative,Negative,0,Negative,Yes,112.9,15.8,10.8,9.1,15.8,
2021-05-13_NABITA001.16_1,WI-7 (v1),5/13/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20068,51921001,Kit QA/QC,Positive - GIN7.65K,Positive,"7,650",Positive,NA,82.4,88.3,13,8.3,21.6,Inhibition test with nasal fluid
2021-05-13_NABITA001.16_2,WI-7 (v1),5/13/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20055,51921001,Kit QA/QC,Positive - GIN7.65K,Positive,"7,650",Negative,NA,72.8,6.2,15.5,4.6,16.5,Inhibition test with nasal fluid
2021-05-13_NABITA001.16_3,WI-7 (v1),5/13/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA001.16,NBSC20040,51921001,Kit QA/QC,Negative NasalF,Negative,0,Negative,Yes,92.1,17.4,8.5,5.7,17.4,
2021-05-20_NABITA001.16_1,WI-6 (v1),5/20/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA001.16,NBSC20037,51921001,Device QA/QC,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,79,70.8,48.4,16,12.8,
2021-05-20_NABITA002.24_1,WI-6 (v1),5/20/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA002.24,NBSC20038,51921001,Device QA/QC,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,143.5,81.9,19,16.3,18.9,
2021-05-20_NABITA003.11_1,WI-6 (v1),5/20/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.11,NBSC20069,51921001,Device QA/QC,Positive - GINW7.65K,Positive,"7,650",Invalid,Fail,17.6,9.7,13.9,36.7,45.4,The door was opened mid run. Delta in mvs not representive of amplification but light infiltration due to door opening
2021-05-20_NABITA004.11_1,WI-6 (v1),5/20/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA004.11,NBSC20067,51921001,Device QA/QC,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,124,72.9,67,34.3,117.1,
2021-05-25_NABITA003.11_1,WI-6 (v1),5/25/2021,CXL,Gareth Fotouhi,Jackie Mercader,NABITA003.11,NBSC20003,51921001,Device QA/QC,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,84.1,40.9,62,26.5,140,
2021-05-25_NABITA003.11_2,WI-6 (v1),5/25/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20015,51921001,Failure test,Negative NasalWMT,Negative,0,Positive,NA,55.8,54.9,15.1,18.6,13.9,Door was intentionally pumped once on cartridge
2021-05-25_NABITA003.11_3,WI-6 (v1),5/25/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20023,51921001,Failure test,Negative NasalWMT,Negative,0,Invalid,NA,31.2,27.7,38.9,52,52.8,Door was intentionally pumped 3x on cartridge
2021-05-25_NABITA003.11_4,WI-6 (v1),5/25/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20024,51921001,Failure test,Negative NasalWMT,Negative,0,Invalid,NA,29.8,4.8,11.1,8.9,4.7,Cartridge was intentionally pumped prior to loading
2021-05-25_NABITA003.11_5,WI-6 (v1),5/25/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20022,51921001,Device QA/QC,Negative NasalW,Negative,0,Invalid,Invalid,37.6,5.9,21.9,10.8,7.6,Strange drop in mvs across all wells
2021-05-26_NABITA003.11_1,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20004,51921001,,Negative NasalW,Negative,0,Negative,Yes,96.2,7.3,19.5,12.9,10.1,
2021-05-26_NABITA004.11_1,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20005,51921001,,Negative NasalW,Negative,0,Negative,Yes,98.5,15.4,3.8,9.7,10.7,
2021-05-26_NABITA003.11_2,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20016,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,29.8,7.5,10.4,13.2,9.1,
2021-05-26_NABITA004.11_2,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20017,51921001,,Negative NasalW,Negative,0,Negative,Yes,127.8,16,6.6,22.6,17.7,
2021-05-26_NABITA003.11_3,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20018,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,31,5.5,7.8,24.5,11.1,
2021-05-26_NABITA004.11_3,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20019,51921001,,Negative NasalW,Negative,0,Negative,Yes,121.5,5.6,6.6,18.7,18.2,
2021-05-26_NABITA003.11_4,WI-6 (v1),5/26/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20006,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,34.3,1.9,3.1,4,2.7,
2021-05-27_NABITA003.11_1,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.11,NBSC20007,51921001,,Negative NasalW,Negative,0,Invalid,NA,-,-,-,-,-,DATA deleted
2021-05-27_NABITA002.24_1,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.24,NBSC20059,51921001,,Negative NasalW,Negative,0,Negative,Yes,62.6,12.8,13.3,20.7,16.7,
2021-05-27_NABITA004.11_1,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20100,51921001,,Negative NasalW,Negative,0,Negative,Yes,83.1,10.9,3.4,6.8,10.2,
2021-05-27_NABITA002.24_2,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.24,NBSC20077,51921001,,Negative NasalW,Negative,0,Negative,Yes,80.5,8,13.7,19,17.5,
2021-05-27_NABITA004.11_2,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20060,51921001,,Negative NasalW,Negative,0,Negative,Yes,67.2,14.6,6.9,7,12.8,
2021-05-27_NABITA002.24_3,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.24,NBSC20009,51921001,,Negative NasalW,Negative,0,Negative,Yes,77.1,11.5,16.3,21.4,21.3,
2021-05-27_NABITA004.11_3,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.11,NBSC20011,51921001,,Negative NasalW,Negative,0,Negative,Yes,71.8,15.2,5.1,13.6,30.8,
2021-05-27_NABITA003.14_2,WI-6 (v1),5/27/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.14,NBSC20082,51921001,,Negative NasalW,Negative,0,Negative,Yes,84.2,9.6,15.8,17.8,10.1,LED guide switched
2021-05-28_NABITA003.14_1,WI-6 (v1),5/28/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.14,NBSC20032,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,39.4,6.8,8.6,9.6,6,
2021-05-28_NABITA003.14_2,WI-6 (v1),5/28/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.14,NBSC20031,51921001,,Negative NasalW,Negative,0,Negative,Yes,63,7.3,7.4,14.4,9.3,
2021-06-08_NABITA003.17_1,WI-6 (v1),6/8/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.17,NBSC20030,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,7.9,8.7,7,3.4,7.1,
2021-06-08_NABITA003.18_2,WI-6 (v1),6/8/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.18,NBSC20036,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,8,7,6,6.2,6,
2021-06-09_NABITA003.19_1,WI-6 (v1),6/9/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.19,NBSC20035,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,7.5,7.9,6,4.8,5.5,
2021-06-09_NABITA004.12_1,WI-6 (v1),6/9/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.12,NBSC20029,51921001,,Negative NasalW,Negative,0,Negative,Yes,92.8,9.7,8,12.3,19.5,
2021-06-10_NABITA003.22_1,WI-6 (v1),6/10/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.22,NBSC20101,51921001,,Negative NasalW,Negative,0,Negative,Yes,42.8,8.4,8.7,6.4,25.2,NOTE: Device shut off during lysis ramp at 65 C. Rebooted device and repeated test.
2021-06-10_NABITA003.22_2,WI-6 (v1),6/10/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.22,NBSC20103,51921001,,Negative NasalW,Negative,0,Negative,Yes,47.4,11.7,12.5,31,23.6,
2021-06-11_NABITA004.13_1,WI-6 (v1),6/11/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.13,NBSC20052,51921001,,Negative NasalW,Negative,0,Negative,Yes,94.2,18.1,4.7,13.1,12.1,
2021-06-11_NABITA004.13_2,UT,6/11/2021,CXL,Kayla Bullard,Kayla Bullard,NABITA004.13,NBSC20012,51921001,,Negative,Negative,0,Negative,Yes,49.7,4.1,4.7,12.2,9.8,
2021-06-11_NABITA002.24_1,UT,6/11/2021,CXL,Kelly Bullard,Kelly Bullard,NABITA002.24,NBSC20051,51921001,,Negative,Negative,0,Negative,Yes,88.9,9.5,15.7,18.1,15.4,
2021-06-14_NABITA003.22_1,WI-6 (v1),6/14/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.22,NBSC20050,51921001,,Negative NasalW,Negative,0,Negative,Yes,68.3,13.3,17.7,18.9,9.3,
2021-06-15_NABITA003.22_1,WI-6 (v1),6/15/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.22,NBSC20046,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,32.2,3.8,4,6.6,3.2,
2021-06-15_NABITA004.13_1,WI-6 (v1),6/15/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.13,NBSC20045,51921001,,Negative NasalW,Negative,0,Negative,Yes,97.6,15.4,4.5,16.1,12.5,
2021-06-15_NABITA004.14_1,WI-6 (v1),6/15/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.14,NBSC20042,51921001,,Negative NasalW,Negative,0,Negative,Yes,167,15.6,11.6,18.5,23.1,
2021-06-17_NABITA002.28_1,Custom,6/17/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA002.28,In-House Kit,N/A,,Positive - CXDEV,Positive,"100,000",Positive,Yes,124.5,78,160.6,170.9,148.4,
2021-06-24_NABITA003.27_1,WI-6 (v1),6/24/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.27,NBSC20041,51921001,,Negative NasalW,Negative,0,Device Fail,Fail,N/A,N/A,N/A,N/A,N/A,Device shutoff during run. No data available
2021-06-24_NABITA003.27_2,WI-6 (v1),6/24/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.27,NBSC20049,51921001,,Negative NasalW,Negative,0,Invalid,NA,4,3.5,17.5,6.1,4.2,"Leakage through PD1 vents, retracted back into well as syringe was removed"
2021-06-30_NABITA003.34_1,WI-6 (v1),6/30/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA003.34,NBSC20013,51921001,,Negative NasalW,Negative,0,Invalid,Invalid,39.6,8.2,15.4,18.4,19.3,
2021-07-21_NABITA002.35_1,WI-6 (v1),7/21/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,NBSC20043,51921001,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,91.5,93.8,125.1,157.2,79.2,
2021-07-21_NABITA004.21_1,WI-6 (v1),7/21/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.21,NBSC20044,51921001,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,108.8,52.9,84,167.5,81.8,
2021-07-21_NABITA002.35_2,,7/21/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA002.35,,OQ1,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,174.1,114.9,160.8,237.9,188,Day 1
2021-07-21_NABITA004.21_2,,7/21/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA004.21,,OQ1,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,141.4,97.9,120,211.9,249.9,Day 1
2021-07-22_NABITA002.35_1,,7/22/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,NBSC20118,51921001,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,98.2,49.7,73.5,177,67,
2021-07-22_NABITA004.21_1,,7/22/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA004.21,,OQ2,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,128.2,124.3,112.8,237.4,212,Day 1
2021-07-22_NABITA002.35_2,,7/22/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,NBSC20116,51921001,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,68.6,51.6,82.9,108.9,95.8,Switched syringe+diluent buffer out from kit with in-house made syringe loaded with yellow-tinted diluent buffer 
2021-07-22_NABITA002.35_3,,7/22/2021,CXL,Jackie Mercader,Jackie Mercader,NABITA002.35,,OQ2,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,122.6,92.3,118.2,214.7,179.5,Day 1
2021-07-23_NABITA002.35_1,,7/23/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,,OQ1,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,149.5,155.3,139.9,235.9,236.8,Day 3
2021-07-23_NABITA004.21_1,,7/23/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.21,,OQ1,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,130.2,139.5,119.8,203.7,231.3,Day 3
2021-07-23_NABITA002.35_2,,7/23/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,,OQ3,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,181.2,120.4,127.8,235.4,239.8,Day 1
2021-07-23_NABITA004.21_2,,7/23/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.21,,OQ3,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,159.3,99,189.2,242.2,275.1,Day 1
2021-07-24_NABITA002.35_1,,7/24/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,,OQ2,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,131.3,219.4,155,237.3,176.5,Day 3
2021-07-24_NABITA004.21_1,,7/24/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA004.21,,OQ2,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,132.4,90.9,79.7,208.1,294.1,Day 3
2021-07-25_NABITA002.35_1,,7/25/2021,CXL,Gareth Fotouhi,Gareth Fotouhi,NABITA002.35,,OQ3,,Positive - GINW7.65K,Positive,"7,650",Positive,Yes,129.3,123,202.6,226.8,137.1,Day 3
